TableName	ColumnName	DataType	max_length	is_nullable	is_identity
Categories	CategoryID	int	4	0	1
Categories	CategoryName	nvarchar	200	0	0
Categories	Description	nvarchar	1000	1	0
Categories	ParentCategoryID	int	4	1	0
Categories	CreatedDate	datetime2	8	1	0
Certificates	CertificateID	int	4	0	1
Certificates	ToolID	int	4	0	0
Certificates	CertificateNumber	nvarchar	200	0	0
Certificates	CertificateType	nvarchar	100	0	0
Certificates	IssueDate	date	3	0	0
Certificates	ExpiryDate	date	3	1	0
Certificates	IssuingAuthority	nvarchar	400	1	0
Certificates	CertificatePath	nvarchar	1000	1	0
Certificates	Cost	decimal	5	1	0
Certificates	Notes	nvarchar	1000	1	0
Certificates	CreatedDate	datetime2	8	1	0
Rental	RentalID	int	4	0	1
Rental	RentalNumber	nvarchar	100	0	0
Rental	EmployeeID	int	4	0	0
Rental	Purpose	nvarchar	2000	0	0
Rental	ProjectCode	nvarchar	100	1	0
Rental	Status	nvarchar	40	1	0
Rental	StartDate	date	3	0	0
Rental	EndDate	date	3	0	0
Rental	ActualStart	date	3	1	0
Rental	ActualEnd	date	3	1	0
Rental	TotalCost	decimal	9	1	0
Rental	ApprovedBy	int	4	1	0
Rental	ApprovalDate	date	3	1	0
Rental	CheckoutCondition	nvarchar	1000	1	0
Rental	ReturnCondition	nvarchar	1000	1	0
Rental	Notes	nvarchar	2000	1	0
Rental	CreatedDate	datetime2	8	1	0
Rental	UpdatedDate	datetime2	8	1	0
RentalItems	RentalItemID	int	4	0	1
RentalItems	RentalID	int	4	0	0
RentalItems	ToolID	int	4	0	0
RentalItems	Quantity	int	4	1	0
RentalItems	DailyCost	decimal	5	1	0
RentalItems	TotalCost	decimal	9	1	0
RentalItems	CheckoutNotes	nvarchar	1000	1	0
RentalItems	ReturnNotes	nvarchar	1000	1	0
Service	ServiceID	int	4	0	1
Service	ToolID	int	4	0	0
Service	ServiceType	nvarchar	100	0	0
Service	ServiceDate	date	3	0	0
Service	Description	nvarchar	2000	0	0
Service	Cost	decimal	9	1	0
Service	PerformedBy	nvarchar	400	1	0
Service	NextServiceDue	date	3	1	0
Service	Notes	nvarchar	2000	1	0
Service	CreatedDate	datetime2	8	1	0
TED_Bid_Assignments	ted_no	nvarchar	160	0	0
TED_Bid_Assignments	responsible	nvarchar	400	1	0
TED_Bid_Assignments	approver	nvarchar	400	1	0
TED_Bid_Assignments	assignee	nvarchar	400	1	0
TED_Bid_Assignments	due_date	date	3	1	0
TED_Bid_Assignments	review_date	date	3	1	0
TED_Bid_Assignments	submitted	bit	1	0	0
TED_Bid_Assignments	review_fit	int	4	1	0
TED_Bid_Assignments	review_scope	int	4	1	0
TED_Bid_Assignments	review_value	int	4	1	0
TED_Bid_Assignments	review_feasibility	int	4	1	0
TED_Bid_Assignments	review_note	nvarchar	-1	1	0
TED_Bid_Assignments	last_updated_by	nvarchar	100	1	0
TED_Bid_Assignments	updated_at	datetime2	6	1	0
TED_Tender_Latest	ted_no	nvarchar	160	0	0
TED_Tender_Latest	portal	nvarchar	40	1	0
TED_Tender_Latest	title	nvarchar	1000	1	0
TED_Tender_Latest	description	nvarchar	-1	1	0
TED_Tender_Latest	verdict	nvarchar	40	1	0
TED_Tender_Latest	confidence	int	4	1	0
TED_Tender_Latest	reason	nvarchar	-1	1	0
